Fire,Aspect,DEM,MeanMaximumTemperature,MeanMinimumTemperature,Moisture,NDVI,Precipitation,Runoff,Slope,Vapour,WindSpeed,Drivers,Dlake,Droads,Dset,landcover
1,309.8015631,141,252.25,116,744.8333333,0.443737268,103.3333333,15.16666667,1.791546885,1496.166667,252.5,523.1086738,1523.902267,2047.846601,0,22
1,230.4026835,30,248.9166667,119.9166667,515.8333333,0.575682402,106.8333333,7.25,1.349632382,1516.916667,280,163.6620792,3423.39329,5191.14017,23732.95398,82
1,78.28165849,60,247.5,120.5,851.5833333,0.727833867,105.9166667,8.416666667,1.411818737,1496.166667,255.8333333,634.5693981,1396.460549,1238.114242,1160.450481,21
1,247.4882631,19,251.4166667,122.5833333,361.6666667,0.322958946,100.0833333,6.333333333,1.497804252,1501,274.1666667,316.0800026,1099.745339,885.5188506,17088.65091,21
1,247.5116686,53,247.3333333,120.1666667,597.5833333,0.756552398,102,6.583333333,0.749769075,1479.25,262.5,142.4220404,1699.828004,4.240910132,22051.24616,22
1,201.8662831,73,246.3333333,122.25,685.4166667,0.591090262,110.6666667,12.33333333,0.927017116,1494.75,257.5,1477.641412,1691.047663,1606.103366,9334.17343,82
1,168.7126959,48,253.25,117.6666667,715.25,0.727115214,103.6666667,13.41666667,1.754188704,1506,249.1666667,88.14455918,1353.360996,2913.648634,4141.29716,82
1,106.8271209,127,248.5,113.5833333,843.4166667,0.738424718,108.6666667,13.66666667,3.956592653,1471.583333,254.1666667,191.8995632,178.2564159,2789.802369,18522.80499,21
1,158.1762104,150,248.1666667,113.5,860.6666667,0.605958521,104.5833333,15.5,0.926741589,1465.666667,255.8333333,223.6086858,219.5711292,1428.974336,5923.949621,71
1,133.0777544,233,232.25,100.5,1045.5,0.751924217,102.4166667,18.75,3.355497882,1378.583333,215.8333333,992.203101,1662.570767,640.5708923,13092.86718,21
1,217.1277401,228,230.25,99.91666667,1056.75,0.615269005,103.5,19.5,7.510740388,1369.166667,216.6666667,71.578067,311.9293598,926.5406207,14966.50078,81
1,207.5611423,172,236.1666667,102.75,1034.083333,0.682606101,91.66666667,13.5,2.263409198,1377.833333,235,561.0297845,1479.455161,1889.583013,6245.911774,21
1,230.2954047,79,250,120.6666667,888.25,0.575679898,107.25,9.666666667,1.34658784,1501.083333,253.3333333,1287.463542,1974.206816,1.418589013,805.6093234,22
1,270,70,242.6666667,117.6666667,635.5,0.517015159,102.3333333,7.333333333,1.039961621,1465.166667,261.6666667,113.6420129,370.3749576,2320.678831,17780.7018,82
1,30.99212182,142,250.1666667,114.4166667,774.5,0.561305523,107.4166667,14.33333333,0.669094051,1480,251.6666667,1003.54223,1276.294536,3949.3429,7795.753847,52
1,21.73339216,11,250.75,132.6666667,1067.75,0.781021893,112,5.75,1.851831638,1640.166667,368.3333333,176.9931033,2124.993206,4203.149286,11993.06554,42
1,211.1753799,28,248.6666667,123.3333333,348.0833333,0.371879101,94.08333333,5.916666667,1.340587145,1467.916667,265.8333333,893.8944241,973.0032933,59.70902577,2892.54564,23
1,30.990802,111,247.75,112.9166667,1136.25,0.672965109,102.25,16.25,1.337987152,1488.166667,255.8333333,527.5144853,1001.106439,2041.657829,15675.94399,71
1,256.6527581,30,252.25,120.9166667,660.1666667,0.550858676,103.1666667,7.916666667,2.48314785,1517.333333,265.8333333,197.3012915,1563.321412,1735.25394,21032.35165,82
1,101.5906657,194,235.8333333,104.5833333,1078.833333,0.694903791,96.25,14.5,2.852527168,1394.166667,230.8333333,269.051787,630.5665818,0.787500792,16251.55996,21
1,270,50,253.4166667,124,729.8333333,0.508896768,115.9166667,15.25,0.343961051,1528.25,249.1666667,687.3843902,2273.024249,4117.029706,7532.081349,82
1,158.0132219,224,235.8333333,107.9166667,1052.5,0.770769238,98.08333333,17.5,0.927802074,1423.333333,255,216.8844642,634.8189865,2099.117809,7558.058679,42
1,31.01512781,58,250.1666667,122.1666667,716.9166667,0.59470135,111.8333333,12.75,0.669255507,1508.833333,257.5,248.7195665,2720.771866,989.6734542,10355.60347,21
1,101.8775953,11,248.5,147,936.4166667,0.861838996,110.75,5.5,1.393163113,1721.333333,385,753.6380601,1068.620892,3307.32836,2222.401857,42
1,174.3495042,27,261.5833333,134.1666667,1123.666667,0.689981103,113.6666667,6.583333333,3.454207351,1671.5,248.3333333,579.3930794,1216.308261,2046.15923,39020.01151,82
1,241.1831756,81,244,117.5,537.9166667,0.57941395,95.5,5.916666667,1.189841247,1449.583333,256.6666667,737.9056246,1206.481694,1725.363209,1669.274469,21
1,180,15,255.3333333,132.5833333,1027.083333,0.690999866,110.5,5.75,1.720279868,1605.166667,293.3333333,49.60855882,617.2990493,2419.261291,23.86716652,42
1,270,31,254.1666667,121.3333333,684,0.715379715,104.1666667,9.083333333,0.344909211,1527.083333,272.5,1535.274561,4291.509831,10.392738,16662.94393,41
1,180,34,249.5,122.5833333,408.3333333,0.314980447,96.25,5.833333333,1.147044723,1484.666667,265.8333333,849.8994487,4137.014029,30.34062004,1090.812835,23
1,329.0706792,40,254.0833333,125,847.8333333,0.434969842,116.3333333,14.33333333,2.005234736,1553.25,255,256.4667502,739.7670095,2.305064912,31421.64475,21
1,334.9565849,213,233.5,108.0833333,860.4166667,0.737500012,112.4166667,27.5,4.108227388,1395.166667,248.3333333,119.8650655,57.93933051,1294.335304,6829.524711,42
1,196.8703347,214,235.5833333,109.8333333,890.3333333,0.77967912,103.75,20.16666667,1.198614231,1413.416667,252.5,170.4987432,62.42101281,1861.244263,3846.565638,21
1,143.0044844,105,244.5833333,111.0833333,1870.75,0.440329224,100.3333333,14.91666667,2.870322,1487.75,253.3333333,1992.235162,0,4516.591278,24926.93882,21
1,40.6330581,100,247.75,112.9166667,1136.25,0.637545824,102.25,16.25,2.643540752,1488.166667,255.8333333,328.8183875,501.4951144,2411.465062,15857.62144,21
1,123.2177515,38,260.5,132.3333333,1044,0.606214523,114.75,7.333333333,3.659699441,1685.25,271.6666667,973.8010792,2801.64877,1178.30624,28905.97599,21
1,0,20,253.25,126,691,0.762230098,106.5833333,5.583333333,1.720279868,1548.416667,296.6666667,667.1003516,1377.412442,1139.18108,28219.23347,42
1,95.33419553,52,261.9166667,130.75,809.25,0.502373278,108.1666667,8.25,3.082055601,1604.416667,233.3333333,1075.4377,1619.957318,2483.735305,51301.61629,42
1,105.5441047,72,254.5,123.75,712.3333333,0.649305582,115.6666667,16.33333333,1.070102514,1528.083333,244.1666667,742.0040764,409.91864,3964.348499,1537.071145,21
1,42.36908142,129,239.5833333,113.25,617.9166667,0.460529447,92.66666667,9.833333333,1.55236546,1420.666667,248.3333333,524.203619,841.3966079,998.011454,22326.01294,71
1,229.8858571,28,260.1666667,133.6666667,1003.166667,0.600407243,114.9166667,6.5,0.890178149,1700.666667,285.8333333,1185.549367,2307.748529,447.1555128,20504.10738,52
1,13.59723095,45,248.1666667,123.25,362.9166667,0.78274399,94.41666667,5.833333333,1.475022059,1466.833333,266.6666667,562.6948862,5679.240726,2681.877701,0,22
1,254.5279973,24,252.9166667,122.3333333,567.8333333,0.672537684,101.6666667,7.25,1.074965563,1517.25,275,1317.907667,4158.385454,1135.652918,0,23
1,338.2269314,45,254.3333333,125,789.1666667,0.568929315,116.75,13.91666667,0.926413595,1543.666667,250.8333333,855.8733132,880.9719425,470.4480536,17531.08782,22
1,180,71,243.9166667,116.1666667,546.8333333,0.712735713,90,6.083333333,2.293170738,1423.916667,243.3333333,94.18995755,1675.083503,1851.340942,5586.12523,90
1,163.3960392,67,260.6666667,126,618.6666667,0.856585383,106.4166667,10,2.392836433,1561.166667,227.5,507.7003735,1464.100102,4272.065048,52979.25172,21
1,208.1118706,13,252.25,128.5833333,749.8333333,0.59334749,109.4166667,5.666666667,2.923887604,1574.5,312.5,742.7177737,4283.242902,1333.778636,24071.03856,95
1,170.3653574,32,260.9166667,132,999.6666667,0.637049019,113.8333333,7.666666667,2.035461982,1670.083333,260,695.2311538,725.5628977,15.38961479,35398.36333,21
1,224.9065557,30,254.5833333,128.25,1037,0.537607253,114.6666667,10,2.428160464,1592.25,277.5,539.4000428,1538.440524,988.5522494,13420.7787,52
1,49.80388971,12,259.0833333,140.5,906,0.601317942,113.6666667,5.75,1.332871869,1734.75,280.8333333,815.0914939,861.4234591,2717.723491,11474.49975,52
1,279.5385268,23,252.75,139,957.25,0.380335838,110.25,7.333333333,3.45724474,1675.583333,330.8333333,1735.278843,2082.398595,2489.561586,9533.761649,81
1,149.0675399,24,254.9166667,127.5,837.25,0.86741966,106,5.5,0.668676209,1581.666667,298.3333333,10.41191445,2000.822511,9650.664305,22674.28986,90
1,117.548624,12,254.4166667,128.1666667,831.5,0.631533325,105.75,5.333333333,3.097505819,1585.25,305,363.8899893,2244.131838,5568.479227,28789.81006,82
1,122.9347961,212,235.25,108.8333333,825.3333333,0.716944993,98.08333333,17.33333333,5.782905246,1408.916667,253.3333333,683.4380641,593.2135431,1416.705794,0,21
1,180,17,251.9166667,131.25,944.9166667,0.75999999,109.4166667,5.583333333,1.147044723,1622.416667,351.6666667,295.1026704,2779.491975,2447.215984,12730.52757,22
1,341.1796189,8,249.5,141.75,861,0.735588014,104.5,5.25,2.120028434,1659.25,349.1666667,818.2917725,2116.136382,4254.128194,11614.8674,42
1,99.47422124,8,254.0833333,130.4166667,845.1666667,0.667969286,107.3333333,5.416666667,1.741825384,1606.083333,335,226.1707565,1876.510577,573.0447906,18684.80687,21
1,309.6072016,149,245.3333333,111.4166667,1187.333333,0.709232211,98.58333333,7.416666667,2.697207017,1447.75,251.6666667,1520.047514,1971.971669,4641.669266,10330.94914,52
1,25.70145356,21,254.0833333,122.4166667,628.5,0.613636374,103.1666667,7.333333333,1.591036447,1527.083333,277.5,325.6980009,5724.283027,7.28841289,5408.622904,22
1,158.2408039,27,255.75,129.5,890.5,0.806485891,108.1666667,6.083333333,0.926324053,1585.75,292.5,651.5196091,1838.534839,1688.946626,15276.64831,90
1,166.3526835,32,249.8333333,117.9166667,304.6666667,0.810303628,94.91666667,7,1.475334423,1446.75,254.1666667,163.6804344,3472.372884,2495.654763,9576.219099,90
1,124.6443588,24,251.4166667,122.4166667,445.9166667,0.430885524,99.41666667,6.75,2.520880084,1501.416667,270,115.9185985,2432.150125,1474.486634,10132.00986,90
1,288.2790267,225,236.4166667,108.4166667,1114.583333,0.516819596,98.33333333,17.83333333,1.828195919,1429.416667,255.8333333,218.4348242,659.2751916,0.531761369,9722.102728,81
1,129.7453932,22,254.4166667,121.5,679.25,0.469772041,103.5833333,9.166666667,1.345434844,1528.166667,272.5,716.1773029,5604.982359,8.009162093,14838.7771,82
1,0,15,253.4166667,127.25,754,0.46863988,106.75,5.5,0.286797102,1570,307.5,431.0948029,165.5591814,3016.686046,28568.77351,42
