Fire,Housing_Raster,Household_ProjectRaster,IMR_ProjectRaster,CDR_ProjectRaster,PopD_ProjectRaster,Soci_Eco_ProjectRaster,Overall_ProjectRaster,Minority_ProjectRaster
1,0.528999984,0.61680001,5.594749928,34.09640503,372.7970886,0.900600016,0.789300025,0.711600006
1,0.2051,0.204300001,5.594749928,43.134552,39.63946152,0.506900012,0.306300014,0.437299997
1,0.439999998,0.649699986,5.594749928,26.98345566,325.3381348,0.603399992,0.519299984,0.080700003
1,0.626299977,0.673900008,5.594749928,11.80526066,34.17194748,0.380100012,0.511300027,0.298799992
1,0.3565,0.551999986,5.594749928,14.33490658,26.57546425,0.533299983,0.443500012,0.198899999
1,0.135000005,0.498699993,5.594749928,43.4265213,20.6563015,0.522400022,0.311800003,0.176799998
1,0.881500006,0.238499999,5.594749928,15.85881424,98.6055603,0.429199994,0.578700006,0.590699971
1,0.221399993,0.484400004,5.594749928,38.49919128,52.04903793,0.671500027,0.572799981,0.602599978
1,0.353399992,0.311699986,5.594749928,29.51309586,60.70549393,0.640699983,0.424600005,0.122299999
1,0.895900011,0.530300021,5.594749928,56.59579086,21.54444504,0.813399971,0.842299998,0.722299993
1,0.706099987,0.609499991,5.594749928,11.80526066,23.51470947,0.690999985,0.713,0.547999978
1,0.203299999,0.925499976,5.594749928,23.26330566,31.62609291,0.760399997,0.707899988,0.793799996
1,0.4102,0.943000019,5.594749928,23.61052132,46.2701149,0.851499975,0.814800024,0.657199979
1,0.377600014,0.55430001,5.594749928,0,0.789997637,0.623700023,0.549000025,0.509899974
1,0.609200001,0.348800004,5.594749928,23.13007164,7.838469505,0.512700021,0.559400022,0.731299996
1,0.245900005,0.89319998,5.594749928,35.95233154,9.656395912,0.800999999,0.711499989,0.64410001
1,0.656400025,0.262899995,5.594749928,0,18.7997303,0.712700009,0.776899993,0.729399979
1,0.60799998,0.971700013,5.594749928,0,13.81520271,0.692600012,0.827300012,0.753899992
1,0.918099999,0.672500014,5.594749928,0,6.431744099,0.698000014,0.822899997,0.663600028
1,0.30250001,0.555499971,5.594749928,19.09670448,25.24054718,0.754199982,0.592400014,0.513300002
1,0.478500009,0.468699992,5.594749928,0,63.94126511,0.835600019,0.730400026,0.871900022
1,0.585099995,0.877200007,5.594749928,42.79402924,225.6430206,0.712700009,0.776899993,0.729399979
1,0.387899995,0.7755,5.594749928,52.05052567,8.050959587,0.84799999,0.783299983,0.623899996
1,0.181199998,0.350199997,5.594749928,32.17449188,214.7198181,0.303000003,0.192200005,0.467799991
1,0.30250001,0.555499971,5.594749928,0,5.81353426,0.754199982,0.592400014,0.513300002
1,0.722899973,0.969900012,5.594749928,82.63682556,7.505534172,0.894699991,0.933499992,0.779500008
1,0.440600008,0.729700029,5.594749928,3.541546345,84.40473175,0.952099979,0.82160002,0.709999979
1,0.255100012,0.218899995,5.594749928,17.19455719,8.189660072,0.309700012,0.243599996,0.471399993
1,0.460099995,0.456800014,5.594749928,34.57249832,22.21381378,0.774999976,0.633000016,0.476000011
1,0.248699993,0.347900003,5.594749928,0,27.33395004,0.339899987,0.291700006,0.479600012
1,0.533800006,0.938899994,5.594749928,0,7.657926083,0.583599985,0.700500011,0.451499999
1,0.508899987,0.441399992,5.594749928,13.41501617,3.603573561,0.743600011,0.632000029,0.504199982
1,0.168899998,0.722500026,5.594749928,47.22104263,33.41827393,0.875400007,0.659500003,0.612200022
1,0.985499978,0.899999976,5.594749928,23.26330566,21.16246223,0.663200021,0.930700004,0.924899995
1,0.220100001,0.743799984,5.594749928,0,4.716181755,0.851599991,0.693799973,0.746699989
1,0.2236,0.348199993,5.594749928,21.01330376,67.01530457,0.222100005,0.187900007,0.206300005
1,0.926500022,0.274500012,5.594749928,62.09568787,26.84553528,0.885800004,0.862999976,0.881500006
1,0.326599985,0.933799982,5.594749928,30.49142647,87.79579926,0.966600001,0.83859998,0.500699997
1,0.398600012,0.466100007,5.594749928,0,0,0.430099994,0.35800001,0.0309
1,0.656400025,0.262899995,5.594749928,27.9033432,4.902643681,0.712700009,0.776899993,0.729399979
1,0.897899985,0.575699985,5.594749928,15.34680748,5.94096899,0.841400027,0.81220001,0.257600009
1,0.226899996,0.222100005,5.594749928,61.20097733,57.83398438,0.460700005,0.270900011,0.238600001
1,0.957599998,0.557200015,5.594749928,6.847010612,99.73804474,0.431699991,0.689800024,0.456400007
1,0.73150003,0.720700026,5.594749928,0,9.939660072,0.377700001,0.586300015,0.453999996
1,0.466300011,0.258300006,5.594749928,17.70783806,9.177963257,0.380800009,0.34740001,0.319700003
